2024-07-10 21:54:51.608099
2024-07-10 21:58:55.766173
data, poison_rate, attacker, defender, CACC, std, ASR, std, time, iter
2024-07-10 22:01:46.340003
data, poison_rate, attacker, defender, CACC, std, ASR, std, time, iter
2024-07-11 09:51:39.570305
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,badnets,onion,0.8710,0.1886,321.7,2/5
sst-2,0.1,badnets,onion,0.8786,0.2018,321.9,3/5
sst-2,0.1,badnets,onion,0.8699,0.2061,321.7,4/5
sst-2,0.1,badnets,onion,0.8753,0.1985,322.6,5/5
sst-2,0.1,badnets,rap,0.9055,0.4068,128.9,1/5
sst-2,0.1,badnets,rap,0.9006,0.3465,128.4,2/5
sst-2,0.1,badnets,rap,0.9072,0.6425,127.8,3/5
sst-2,0.1,badnets,rap,0.9072,0.3289,126.8,4/5
sst-2,0.1,badnets,rap,0.9044,0.3629,127.0,5/5
sst-2,0.1,addsent,none,0.9127,1.0000,107.3,1/5
sst-2,0.1,addsent,none,0.9165,0.9989,106.6,2/5
sst-2,0.1,addsent,none,0.9143,1.0000,106.2,3/5
sst-2,0.1,addsent,none,0.9149,1.0000,106.7,4/5
sst-2,0.1,addsent,none,0.9105,1.0000,106.5,5/5
sst-2,0.1,addsent,loss,0.9127,1.0000,114.5,1/5
sst-2,0.1,addsent,loss,0.9028,0.9967,114.4,2/5
sst-2,0.1,addsent,loss,0.9105,1.0000,114.4,3/5
sst-2,0.1,addsent,loss,0.9055,0.9901,114.8,4/5
sst-2,0.1,addsent,loss,0.9033,1.0000,115.0,5/5
sst-2,0.1,addsent,onion,0.8775,0.9408,333.9,1/5
sst-2,0.1,addsent,onion,0.8759,0.8827,332.1,2/5
sst-2,0.1,addsent,onion,0.8720,0.9156,331.9,3/5
sst-2,0.1,addsent,onion,0.8720,0.9046,333.3,4/5
sst-2,0.1,addsent,onion,0.8726,0.9145,333.7,5/5
sst-2,0.1,addsent,rap,0.8841,1.0000,130.4,1/5
sst-2,0.1,addsent,rap,0.6107,0.9693,129.5,2/5
sst-2,0.1,addsent,rap,0.8583,0.9956,128.2,3/5
sst-2,0.1,addsent,rap,0.9017,1.0000,128.3,4/5
sst-2,0.1,addsent,rap,0.8534,0.9879,128.0,5/5
sst-2,0.2,badnets,none,0.9094,0.9781,106.4,1/5
sst-2,0.2,badnets,none,0.9094,0.8849,106.2,2/5
sst-2,0.2,badnets,none,0.9143,0.9901,106.4,3/5
sst-2,0.2,badnets,none,0.9127,0.9572,106.3,4/5
sst-2,0.2,badnets,none,0.9105,0.9693,105.9,5/5
sst-2,0.2,badnets,loss,0.9061,0.7456,114.0,1/5
sst-2,0.2,badnets,loss,0.9072,0.4002,114.1,2/5
sst-2,0.2,badnets,loss,0.9127,0.5822,114.4,3/5
sst-2,0.2,badnets,loss,0.8918,0.3410,113.6,4/5
sst-2,0.2,badnets,loss,0.9110,0.3882,114.7,5/5
sst-2,0.2,badnets,onion,0.8792,0.1678,323.2,1/5
sst-2,0.2,badnets,onion,0.8720,0.1743,321.6,2/5
sst-2,0.2,badnets,onion,0.8759,0.2149,321.6,3/5
sst-2,0.2,badnets,onion,0.8748,0.2127,323.7,4/5
sst-2,0.2,badnets,onion,0.8666,0.1765,324.6,5/5
sst-2,0.2,badnets,rap,0.9033,0.7368,129.7,1/5
sst-2,0.2,badnets,rap,0.9006,0.6842,128.8,2/5
sst-2,0.2,badnets,rap,0.9105,0.7675,128.2,3/5
sst-2,0.2,badnets,rap,0.9023,0.7171,128.1,4/5
sst-2,0.2,badnets,rap,0.9039,0.7412,127.5,5/5
sst-2,0.2,addsent,none,0.9105,1.0000,108.6,1/5
sst-2,0.2,addsent,none,0.9127,1.0000,108.0,2/5
sst-2,0.2,addsent,none,0.9165,1.0000,107.7,3/5
sst-2,0.2,addsent,none,0.9154,1.0000,108.3,4/5
sst-2,0.2,addsent,none,0.9055,1.0000,107.4,5/5
sst-2,0.2,addsent,loss,0.9061,1.0000,116.1,1/5
sst-2,0.2,addsent,loss,0.9105,0.9989,115.4,2/5
sst-2,0.2,addsent,loss,0.9121,1.0000,115.7,3/5
sst-2,0.2,addsent,loss,0.9072,0.9989,116.3,4/5
sst-2,0.2,addsent,loss,0.9039,1.0000,116.3,5/5
sst-2,0.2,addsent,onion,0.8759,0.9452,336.1,1/5
sst-2,0.2,addsent,onion,0.8715,0.9079,333.3,2/5
sst-2,0.2,addsent,onion,0.8720,0.9353,333.9,3/5
sst-2,0.2,addsent,onion,0.8792,0.9320,335.1,4/5
sst-2,0.2,addsent,onion,0.8682,0.9276,335.2,5/5
sst-2,0.2,addsent,rap,0.8968,1.0000,131.8,1/5
sst-2,0.2,addsent,rap,0.8237,1.0000,130.7,2/5
sst-2,0.2,addsent,rap,0.8781,1.0000,129.6,3/5
sst-2,0.2,addsent,rap,0.8896,0.9989,129.9,4/5
sst-2,0.2,addsent,rap,0.8962,1.0000,128.9,5/5
sst-2,0.3,badnets,none,0.9105,0.9978,106.3,1/5
sst-2,0.3,badnets,none,0.9039,0.9956,106.0,2/5
sst-2,0.3,badnets,none,0.9127,0.9956,106.0,3/5
sst-2,0.3,badnets,none,0.9088,0.9989,105.6,4/5
sst-2,0.3,badnets,none,0.9110,0.9901,106.4,5/5
sst-2,0.3,badnets,loss,0.9072,0.9934,114.4,1/5
sst-2,0.3,badnets,loss,0.9116,0.8596,114.3,2/5
sst-2,0.3,badnets,loss,0.9055,0.9781,114.2,3/5
sst-2,0.3,badnets,loss,0.9077,0.8454,114.8,4/5
sst-2,0.3,badnets,loss,0.9012,0.8520,114.8,5/5
sst-2,0.3,badnets,onion,0.8660,0.1524,322.8,1/5
sst-2,0.3,badnets,onion,0.8699,0.1502,321.0,2/5
sst-2,0.3,badnets,onion,0.8720,0.1820,320.9,3/5
sst-2,0.3,badnets,onion,0.8677,0.2314,322.6,4/5
sst-2,0.3,badnets,onion,0.8737,0.1787,323.7,5/5
sst-2,0.3,badnets,rap,0.8962,0.7675,129.6,1/5
sst-2,0.3,badnets,rap,0.8990,0.7621,128.5,2/5
sst-2,0.3,badnets,rap,0.8100,0.6667,127.6,3/5
sst-2,0.3,badnets,rap,0.9006,0.7643,127.2,4/5
sst-2,0.3,badnets,rap,0.9077,0.7599,128.0,5/5
sst-2,0.3,addsent,none,0.9121,1.0000,108.9,1/5
sst-2,0.3,addsent,none,0.9099,1.0000,108.7,2/5
sst-2,0.3,addsent,none,0.9138,1.0000,109.1,3/5
sst-2,0.3,addsent,none,0.9160,1.0000,108.3,4/5
sst-2,0.3,addsent,none,0.9066,1.0000,108.9,5/5
sst-2,0.3,addsent,loss,0.9072,1.0000,117.0,1/5
sst-2,0.3,addsent,loss,0.9083,1.0000,116.6,2/5
sst-2,0.3,addsent,loss,0.9061,1.0000,116.2,3/5
sst-2,0.3,addsent,loss,0.9077,1.0000,116.3,4/5
sst-2,0.3,addsent,loss,0.9023,1.0000,116.8,5/5
sst-2,0.3,addsent,onion,0.8764,0.9276,335.7,1/5
sst-2,0.3,addsent,onion,0.8764,0.8816,334.1,2/5
sst-2,0.3,addsent,onion,0.8693,0.9529,334.3,3/5
sst-2,0.3,addsent,onion,0.8715,0.9287,335.0,4/5
sst-2,0.3,addsent,onion,0.8731,0.9441,336.3,5/5
sst-2,0.3,addsent,rap,0.9044,1.0000,132.0,1/5
sst-2,0.3,addsent,rap,0.8946,1.0000,131.4,2/5
sst-2,0.3,addsent,rap,0.8589,1.0000,130.9,3/5
sst-2,0.3,addsent,rap,0.8995,1.0000,130.1,4/5
sst-2,0.3,addsent,rap,0.8979,1.0000,130.4,5/5
sst-2,0.4,badnets,none,0.8907,1.0000,106.0,1/5
sst-2,0.4,badnets,none,0.8940,0.9989,106.1,2/5
sst-2,0.4,badnets,none,0.9033,0.9989,106.5,3/5
sst-2,0.4,badnets,none,0.8979,0.9989,106.0,4/5
sst-2,0.4,badnets,none,0.8896,0.9989,106.6,5/5
sst-2,0.4,badnets,loss,0.8984,0.9967,114.5,1/5
sst-2,0.4,badnets,loss,0.8979,0.9934,114.6,2/5
sst-2,0.4,badnets,loss,0.9039,0.9978,114.6,3/5
sst-2,0.4,badnets,loss,0.8984,0.9868,113.7,4/5
sst-2,0.4,badnets,loss,0.8979,0.9967,115.6,5/5
sst-2,0.4,badnets,onion,0.8506,0.1447,323.5,1/5
sst-2,0.4,badnets,onion,0.8550,0.1963,322.0,2/5
sst-2,0.4,badnets,onion,0.8583,0.1535,322.5,3/5
sst-2,0.4,badnets,onion,0.8528,0.1546,323.0,4/5
sst-2,0.4,badnets,onion,0.8633,0.1250,324.3,5/5
sst-2,0.4,badnets,rap,0.8803,0.7654,129.6,1/5
sst-2,0.4,badnets,rap,0.8880,0.7884,128.7,2/5
sst-2,0.4,badnets,rap,0.8957,0.7544,128.3,3/5
sst-2,0.4,badnets,rap,0.8891,0.7599,127.5,4/5
sst-2,0.4,badnets,rap,0.8825,0.7478,128.0,5/5
sst-2,0.4,addsent,none,0.9012,1.0000,109.9,1/5
sst-2,0.4,addsent,none,0.9017,1.0000,109.2,2/5
sst-2,0.4,addsent,none,0.8990,1.0000,109.3,3/5
sst-2,0.4,addsent,none,0.9127,1.0000,109.9,4/5
sst-2,0.4,addsent,none,0.9061,1.0000,109.7,5/5
sst-2,0.4,addsent,loss,0.9154,1.0000,118.0,1/5
sst-2,0.4,addsent,loss,0.9050,1.0000,119.0,2/5
sst-2,0.4,addsent,loss,0.9023,1.0000,117.1,3/5
sst-2,0.4,addsent,loss,0.9088,0.9989,117.1,4/5
sst-2,0.4,addsent,loss,0.9023,1.0000,117.6,5/5
sst-2,0.4,addsent,onion,0.8649,0.9430,337.1,1/5
sst-2,0.4,addsent,onion,0.8720,0.8980,336.0,2/5
sst-2,0.4,addsent,onion,0.8545,0.9627,335.1,3/5
sst-2,0.4,addsent,onion,0.8666,0.9320,336.4,4/5
sst-2,0.4,addsent,onion,0.8710,0.9496,337.7,5/5
sst-2,0.4,addsent,rap,0.8929,1.0000,133.1,1/5
sst-2,0.4,addsent,rap,0.8501,1.0000,131.9,2/5
sst-2,0.4,addsent,rap,0.8435,1.0000,131.2,3/5
sst-2,0.4,addsent,rap,0.8968,1.0000,131.5,4/5
sst-2,0.4,addsent,rap,0.8973,1.0000,131.1,5/5
sst-2,0.5,badnets,none,0.7985,1.0000,107.4,1/5
sst-2,0.5,badnets,none,0.7963,0.9989,106.2,2/5
sst-2,0.5,badnets,none,0.8600,1.0000,105.7,3/5
sst-2,0.5,badnets,none,0.7864,1.0000,106.5,4/5
sst-2,0.5,badnets,none,0.8270,0.9989,106.4,5/5
sst-2,0.5,badnets,loss,0.8528,1.0000,114.5,1/5
sst-2,0.5,badnets,loss,0.7990,0.9989,114.6,2/5
sst-2,0.5,badnets,loss,0.8094,0.9989,114.5,3/5
sst-2,0.5,badnets,loss,0.7996,1.0000,113.9,4/5
sst-2,0.5,badnets,loss,0.7924,0.9989,114.7,5/5
sst-2,0.5,badnets,onion,0.7655,0.0746,324.4,1/5
sst-2,0.5,badnets,onion,0.7661,0.0680,322.1,2/5
sst-2,0.5,badnets,onion,0.8188,0.1414,321.5,3/5
sst-2,0.5,badnets,onion,0.7639,0.0735,323.5,4/5
sst-2,0.5,badnets,onion,0.8040,0.1053,324.2,5/5
sst-2,0.5,badnets,rap,0.2949,1.0000,130.3,1/5
sst-2,0.5,badnets,rap,0.7908,0.7697,128.6,2/5
sst-2,0.5,badnets,rap,0.8572,0.7522,127.6,3/5
sst-2,0.5,badnets,rap,0.7836,0.7555,128.4,4/5
sst-2,0.5,badnets,rap,0.8188,0.7412,127.9,5/5
sst-2,0.5,addsent,none,0.9033,1.0000,110.6,1/5
sst-2,0.5,addsent,none,0.8990,1.0000,110.2,2/5
sst-2,0.5,addsent,none,0.9028,1.0000,110.5,3/5
sst-2,0.5,addsent,none,0.9023,1.0000,110.2,4/5
sst-2,0.5,addsent,none,0.8935,1.0000,109.1,5/5
sst-2,0.5,addsent,loss,0.9039,1.0000,118.1,1/5
sst-2,0.5,addsent,loss,0.9055,1.0000,119.4,2/5
sst-2,0.5,addsent,loss,0.8990,1.0000,118.1,3/5
sst-2,0.5,addsent,loss,0.9017,1.0000,118.6,4/5
sst-2,0.5,addsent,loss,0.9001,1.0000,118.2,5/5
sst-2,0.5,addsent,onion,0.8688,0.9441,337.3,1/5
sst-2,0.5,addsent,onion,0.8616,0.8498,335.5,2/5
sst-2,0.5,addsent,onion,0.8666,0.9397,336.0,3/5
sst-2,0.5,addsent,onion,0.8660,0.9594,337.1,4/5
sst-2,0.5,addsent,onion,0.8495,0.9342,337.3,5/5
sst-2,0.5,addsent,rap,0.8902,1.0000,133.9,1/5
sst-2,0.5,addsent,rap,0.8353,1.0000,132.6,2/5
sst-2,0.5,addsent,rap,0.8929,1.0000,132.3,3/5
sst-2,0.5,addsent,rap,0.8940,1.0000,131.9,4/5
sst-2,0.5,addsent,rap,0.8704,0.5461,130.8,5/5
sst-2,0.1,badnets,loss,0.8968,0.1908,119.1,1/5
sst-2,0.1,badnets,loss,0.9044,0.1897,116.2,2/5
sst-2,0.1,badnets,loss,0.8984,0.2719,115.7,3/5
sst-2,0.2,badnets,loss,0.9028,0.2489,97.8,1/5
sst-2,0.2,badnets,loss,0.9083,0.2588,95.0,2/5
sst-2,0.2,badnets,loss,0.9061,0.4101,94.2,3/5
sst-2,0.2,badnets,loss,0.9121,0.2160,94.2,4/5
sst-2,0.2,badnets,loss,0.9099,0.2226,94.4,5/5
sst-2,0.3,badnets,loss,0.9033,0.7379,75.5,1/5
sst-2,0.3,badnets,loss,0.8907,0.4836,75.1,2/5
sst-2,0.3,badnets,loss,0.8990,0.9342,74.7,3/5
sst-2,0.3,badnets,loss,0.9088,0.6853,74.6,4/5
sst-2,0.3,badnets,loss,0.8968,0.6732,74.6,5/5
sst-2,0.4,badnets,loss,0.8589,0.9868,55.1,1/5
sst-2,0.4,badnets,loss,0.8753,0.6557,55.4,2/5
sst-2,0.4,badnets,loss,0.8830,0.9956,55.5,3/5
sst-2,0.4,badnets,loss,0.8962,0.8958,54.8,4/5
sst-2,0.4,badnets,loss,0.8594,0.7697,55.3,5/5
2024-07-14 20:57:26.344121
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:10:48.246065
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:12:51.740608
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:21:12.589681
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:34:01.126877
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:36:09.144692
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-14 21:38:02.906943
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
agnews,0.1,badnets,none,0.9441,0.6818,5758.6,1/5
agnews,0.1,badnets,none,0.9439,0.7425,5948.3,1/5
agnews,0.1,badnets,none,0.9432,0.7174,5902.8,2/5
agnews,0.1,badnets,none,0.9454,0.6975,5958.5,2/5
agnews,0.1,badnets,none,0.9426,0.5382,5896.4,3/5
agnews,0.1,badnets,none,0.9433,0.5911,5948.8,3/5
agnews,0.1,badnets,none,0.9425,0.6284,5893.6,4/5
agnews,0.1,badnets,none,0.9422,0.6618,5958.2,4/5
agnews,0.1,badnets,none,0.9428,0.5368,5893.1,5/5
agnews,0.1,badnets,none,0.9443,0.6209,5631.5,5/5
2024-07-15 09:26:07.259793
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 09:27:28.693337
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 09:38:54.514646
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
agnews,0.1,badnets,loss,0.9434,0.2609,2857.4,1/5
agnews,0.1,badnets,loss,0.9434,0.4596,2860.4,2/5
agnews,0.1,badnets,loss,0.9411,0.3789,2856.7,3/5
agnews,0.1,badnets,loss,0.9413,0.2637,2859.5,4/5
agnews,0.1,badnets,loss,0.9416,0.4160,2862.2,5/5
2024-07-15 13:51:56.741929
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 14:16:26.693060
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,badnets,loss,0.8940,0.1612,96.1,1/1
2024-07-15 15:06:40.454559
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,loss,0.9105,1.0000,96.9,1/1
2024-07-15 15:20:03.781037
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,loss,0.9138,1.0000,114.5,1/1
2024-07-15 15:24:49.001786
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,loss,0.9138,1.0000,191.2,1/1
2024-07-15 15:29:28.206597
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 15:31:58.753438
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 15:45:18.976438
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 15:47:25.759145
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 15:49:58.524378
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,loss,0.9138,1.0000,114.9,1/1
2024-07-15 15:55:27.388741
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-15 15:59:49.874711
