2024-07-12 09:52:16.447708
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
2024-07-16 20:59:38.788277
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
2024-07-16 21:01:30.592416
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.1,addsent,lossin,0.9092,0.0041,0.9998,0.0004,94.1
sst-2,0.1,addsent,lossin,0.9092,0.0041,0.9998,0.0004,93.3
sst-2,0.1,addsent,lossin,0.9092,0.0041,0.9998,0.0004,93.5
sst-2,0.1,addsent,lossin,0.9092,0.0041,0.9998,0.0004,93.5
2024-07-17 10:23:43.334501
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.1,badnets,lossin,0.8921,0.0037,0.1820,0.0149,112.1
sst-2,0.1,badnets,lossin,0.8921,0.0037,0.1820,0.0149,110.6
sst-2,0.1,badnets,lossin,0.8921,0.0037,0.1820,0.0149,110.7
sst-2,0.1,badnets,lossin,0.8921,0.0037,0.1820,0.0149,110.6
2024-07-17 11:17:58.286123
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.1,addsent,lossin,0.9012,0.0040,0.2048,0.1173,112.7
2024-07-17 11:33:32.395454
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.1,addsent,lossin,0.9012,0.0040,0.2048,0.1173,150.8
sst-2,0.1,addsent,lossin,0.4873,0.0364,0.0000,0.0000,230.5
sst-2,0.1,addsent,lossin,0.9012,0.0040,0.2048,0.1173,229.6
sst-2,0.1,addsent,lossin,0.4873,0.0364,0.0000,0.0000,229.3
sst-2,0.1,addsent,lossin,0.9012,0.0040,0.2048,0.1173,229.8
sst-2,0.1,addsent,lossin,0.4873,0.0364,0.0000,0.0000,149.9
sst-2,0.1,addsent,lossin,0.4873,0.0364,0.0000,0.0000,110.0
2024-07-17 16:36:52.195902
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.2,badnets,none,0.9131,0.0020,0.9627,0.0230,93.7
sst-2,0.2,badnets,lossin,0.8950,0.0027,0.0002,0.0004,111.1
sst-2,0.2,badnets,onion,0.8729,0.0026,0.1934,0.0102,310.8
sst-2,0.2,badnets,rap,0.9021,0.0037,0.7393,0.0078,115.7
2024-07-17 20:12:12.814236
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
2024-07-17 20:30:00.706079
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.2,addsent,none,0.9122,0.0041,1.0000,0.0000,95.3
sst-2,0.2,addsent,lossin,0.8912,0.0074,0.0154,0.0190,113.1
sst-2,0.2,addsent,onion,0.8746,0.0042,0.9355,0.0175,320.4
sst-2,0.2,addsent,rap,0.9017,0.0062,1.0000,0.0000,116.7
2024-07-18 21:23:49.985730
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.2,style,none,0.9006,0.0016,0.8520,0.0109,96.3
sst-2,0.2,style,lossin,0.8847,0.0049,0.0868,0.0237,114.5
sst-2,0.2,style,onion,0.8416,0.0048,0.8571,0.0108,314.2
sst-2,0.2,style,rap,0.8912,0.0054,0.8480,0.0125,117.9
sst-2,0.2,syntactic,none,0.9009,0.0034,0.9542,0.0064,91.9
sst-2,0.2,syntactic,lossin,0.8852,0.0040,0.0601,0.0332,109.5
sst-2,0.2,syntactic,onion,0.8496,0.0087,0.9539,0.0053,302.3
sst-2,0.2,syntactic,rap,0.7921,0.1576,0.9013,0.0936,113.4
2024-07-19 15:25:07.981212
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
2024-07-19 15:37:49.653293
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
agnews,0.2,syntactic,none,0.9429,0.0000,0.9982,0.0000,269468.4
2024-07-24 16:11:30.511638
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.2,style,zdefence,0.8791,0.0053,0.7055,0.0438,24.2
2024-07-24 16:14:11.884128
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
sst-2,0.2,badnets,zdefence,0.9124,0.0037,0.0684,0.0114,64.5
sst-2,0.2,addsent,zdefence,0.9115,0.0034,0.2057,0.0341,61.4
sst-2,0.2,style,zdefence,0.8791,0.0053,0.7055,0.0438,23.3
sst-2,0.2,syntactic,zdefence,0.7757,0.1388,0.3318,0.1767,16.5
2024-07-24 16:48:45.639782
data,poison_rate,attacker,defender,CACC,std,ASR,std,time
